checkpoint_timestamp,voxel_x,voxel_y,voxel_z,first_seen_time,last_seen_time,total_point_hits,observed_frames,active_time_bins,sum_x,sum_y,sum_z
1658137044.824914217,-1,-14,-1,1658137043.024902582,1658137044.424809933,18,5,1,-3.725864813,-240.797154427,-7.465622301
1658137044.824914217,0,9,-8,1658137043.024902582,1658137044.624745369,43,9,1,23.202163845,408.148905754,-322.966687679
1658137044.824914217,0,9,-9,1658137043.024902582,1658137044.624745369,33,9,1,21.286462426,310.973667145,-278.898527145
1658137044.824914217,-1,-17,-1,1658137043.024902582,1658137044.824914217,35,11,1,-20.952995181,-576.831975937,-19.626936052
1658137044.824914217,-1,5,11,1658137043.024902582,1658137044.824914217,51,11,1,-7.547750136,279.997707844,589.107718468
1658137044.824914217,-1,-17,-2,1658137043.024902582,1658137044.524908304,44,10,1,-24.626147985,-722.617593765,-69.797397256
1658137044.824914217,0,10,2,1658137043.024902582,1658137044.824914217,32,10,1,6.300193157,332.865290642,80.978837729
1658137044.824914217,0,-10,-6,1658137043.024902582,1658137044.824914217,4,4,1,0.685326919,-38.385210991,-23.823225498
1658137044.824914217,-1,-17,-6,1658137043.024902582,1658137044.724828005,40,9,1,-6.024257056,-661.508827209,-218.879035950
1658137044.824914217,-1,-17,-7,1658137043.024902582,1658137044.724828005,23,7,1,-1.895200133,-380.832031250,-147.855956078
1658137044.824914217,-1,-16,-7,1658137043.024902582,1658137044.724828005,49,12,1,-3.039220516,-761.055222511,-319.719505310
1658137044.824914217,-1,-15,-8,1658137043.024902582,1658137044.624745369,10,9,1,-0.553465739,-148.548295975,-75.638137341
1658137044.824914217,-1,-16,-8,1658137043.024902582,1658137044.724828005,40,11,1,-1.465381691,-617.090894699,-300.056320667
1658137044.824914217,-1,-5,14,1658137043.024902582,1658137044.824914217,38,10,1,-13.377500191,-172.094438553,549.253504753
1658137044.824914217,-4,-4,-13,1658137043.024902582,1658137044.324722767,4,3,1,-12.593573332,-14.471146107,-51.518669128
1658137044.824914217,-1,-15,-7,1658137043.024902582,1658137044.724828005,28,11,1,-0.971415670,-410.738148689,-176.628922939
1658137044.824914217,-2,-6,-14,1658137043.024902582,1658137044.824914217,4,4,1,-6.901500702,-20.185065269,-54.027536392
1658137044.824914217,-1,-9,-13,1658137043.024902582,1658137044.424809933,8,8,1,-5.371682614,-70.047145844,-100.107158661
1658137044.824914217,0,-12,-12,1658137043.024902582,1658137044.824914217,33,9,1,11.446909845,-380.597526550,-379.544983864
1658137044.824914217,0,-14,-12,1658137043.024902582,1658137044.824914217,24,8,1,6.053435326,-321.469403267,-275.849990845
1658137044.824914217,0,-9,-13,1658137043.024902582,1658137044.824914217,32,14,1,15.439859357,-276.339282990,-399.359915733
1658137044.824914217,0,-13,-12,1658137043.024902582,1658137044.824914217,35,9,1,10.000674620,-438.065150261,-400.424674034
1658137044.824914217,0,-12,-13,1658137043.024902582,1658137044.824914217,27,8,1,10.289974689,-309.315746307,-335.897570610
1658137044.824914217,0,-13,-13,1658137043.024902582,1658137044.824914217,22,7,1,6.872048467,-274.376705170,-273.955094337
1658137044.824914217,0,-11,-14,1658137043.024902582,1658137044.824914217,25,8,1,12.138062239,-261.871006012,-337.839781761
1658137044.824914217,-1,7,10,1658137043.124729633,1658137044.824914217,12,9,1,-0.763281034,88.249068737,129.403436661
1658137044.824914217,-1,-11,11,1658137043.124729633,1658137044.624745369,30,9,1,-13.896948606,-314.992374420,345.876535416
1658137044.824914217,-1,-12,11,1658137043.124729633,1658137044.624745369,26,8,1,-13.408758879,-300.049121857,299.991133690
1658137044.824914217,-1,-13,9,1658137043.124729633,1658137044.624745369,29,8,1,-13.794343650,-364.622858047,276.015771866
1658137044.824914217,-1,-13,10,1658137043.124729633,1658137044.624745369,29,9,1,-14.506763369,-360.013283730,304.796198845
1658137044.824914217,1,-4,-2,1658137043.124729633,1658137043.124729633,1,1,1,1.459919333,-3.490947723,-1.209304094
1658137044.824914217,-1,-13,8,1658137043.124729633,1658137044.624745369,27,9,1,-11.760766953,-339.074997902,228.775829315
1658137044.824914217,0,3,-15,1658137043.124729633,1658137044.824914217,18,8,1,10.615454555,61.755418539,-260.998526573
1658137044.824914217,-4,-3,-13,1658137043.124729633,1658137044.524908304,3,3,1,-9.233640671,-8.603675365,-38.716732025
1658137044.824914217,-1,-15,-10,1658137043.124729633,1658137044.824914217,16,10,1,-1.449651243,-232.730024338,-148.998180389
1658137044.824914217,0,2,-15,1658137043.124729633,1658137044.824914217,49,12,1,29.149633050,119.684662580,-711.186689377
1658137044.824914217,0,-15,-11,1658137043.124729633,1658137044.824914217,19,7,1,2.565913741,-274.354267120,-196.388142586
1658137044.824914217,-1,-10,-13,1658137043.124729633,1658137044.124754429,2,2,1,-1.840200841,-18.205237389,-25.336626053
1658137044.824914217,0,-12,-14,1658137043.124729633,1658137044.824914217,17,6,1,7.061929137,-194.185524940,-228.146928787
1658137044.824914217,-1,0,15,1658137043.224834442,1658137044.824914217,25,7,1,-5.459698334,11.932170244,388.001344681
1658137044.824914217,-1,1,14,1658137043.224834442,1658137044.824914217,31,9,1,-6.128231883,46.759779453,448.606913567
1658137044.824914217,-1,0,14,1658137043.224834442,1658137044.824914217,31,11,1,-6.604351670,15.864453811,447.183692932
1658137044.824914217,-1,8,9,1658137043.224834442,1658137044.824914217,13,6,1,-1.570417199,112.360477448,121.081712723
1658137044.824914217,-1,-10,12,1658137043.224834442,1658137044.824914217,31,7,1,-13.985689908,-294.794192314,386.695370674
1658137044.824914217,-1,-11,12,1658137043.224834442,1658137044.624745369,18,5,1,-8.973320127,-187.426503181,222.950686455
1658137044.824914217,-1,9,5,1658137043.224834442,1658137044.824914217,13,9,1,-1.138201290,120.300976753,75.222949505
1658137044.824914217,0,10,5,1658137043.224834442,1658137044.824914217,32,9,1,3.858092355,332.903162003,176.474955082
1658137044.824914217,-1,-14,7,1658137043.224834442,1658137044.624745369,22,7,1,-9.535696357,-296.471127510,164.792699814
1658137044.824914217,-1,-15,7,1658137043.224834442,1658137044.224855900,20,6,1,-12.289234817,-285.072620392,149.734663963
1658137044.824914217,-1,10,-1,1658137043.224834442,1658137043.224834442,1,1,1,-0.298311442,10.972631454,-0.071210355
1658137044.824914217,0,11,0,1658137043.224834442,1658137044.824914217,17,6,1,1.709686310,194.467279434,9.527609393
1658137044.824914217,0,11,-1,1658137043.224834442,1658137044.624745369,24,6,1,5.193131963,272.666995049,-12.471086517
1658137044.824914217,0,11,-2,1658137043.224834442,1658137044.824914217,28,7,1,8.236616104,322.254543304,-40.280187607
1658137044.824914217,0,10,-2,1658137043.224834442,1658137044.824914217,34,7,1,9.394272909,360.199405670,-52.098079801
1658137044.824914217,-1,-14,8,1658137043.224834442,1658137044.624745369,33,8,1,-15.846782863,-446.861550331,279.877574921
1658137044.824914217,0,10,-4,1658137043.224834442,1658137044.824914217,32,8,1,16.739850461,336.609458923,-112.084696054
1658137044.824914217,-1,-15,3,1658137043.224834442,1658137044.724828005,30,9,1,-10.318693638,-432.147057533,106.153207779
1658137044.824914217,0,10,-5,1658137043.224834442,1658137044.624745369,29,6,1,16.125757456,304.580727577,-130.796069622
1658137044.824914217,-1,-14,5,1658137043.224834442,1658137044.724828005,23,7,1,-8.249927819,-309.316249847,124.332684040
1658137044.824914217,0,9,8,1658137043.224834442,1658137044.824914217,19,7,1,1.172962226,178.566453934,159.054109573
1658137044.824914217,-2,-16,0,1658137043.224834442,1658137044.124754429,5,3,1,-5.245463967,-79.645002365,1.566547323
1658137044.824914217,-1,-15,5,1658137043.224834442,1658137044.724828005,27,8,1,-13.805545360,-388.794696808,149.215241909
1658137044.824914217,-2,-17,-1,1658137043.224834442,1658137044.024915218,4,3,1,-4.240403175,-64.742605209,-2.843202889
