timestamp,frame_index,input_points,observed_voxels,new_voxels,reobserved_voxels,total_tracked_voxels,elapsed_ms
1658137076.124909163,376,3692,3247,85,3162,19617,0.508401
1658137076.224745512,377,4461,3806,67,3739,19684,0.589685
1658137076.324845076,378,3934,3452,93,3359,19777,0.583004
1658137076.424820185,379,3613,3171,118,3053,19895,0.542146
1658137076.524913311,380,3667,3191,132,3059,20027,0.545301
1658137076.624750376,381,4315,3780,163,3617,20190,0.574507
1658137076.724843740,382,4692,4098,159,3939,20349,0.649283
1658137076.824931145,383,5109,4490,219,4271,20568,0.716923
1658137076.924777746,384,4615,3975,258,3717,20826,1.623675
1658137077.024857521,385,4539,3962,237,3725,21063,1.106063
1658137077.124813795,386,4308,3722,229,3493,21292,0.507497
1658137077.224892139,387,3593,3151,207,2944,21499,0.443572
1658137077.324913502,388,5924,5105,295,4810,21794,1.179520
1658137077.424747705,389,4732,4083,276,3807,22070,0.582758
1658137077.524838209,390,3488,3062,238,2824,22308,0.454133
1658137077.624918699,391,4186,3678,288,3390,22596,0.498197
1658137077.724752903,392,3936,3499,259,3240,22855,0.548543
1658137077.824851513,393,4725,4106,312,3794,23167,0.594955
1658137077.924811363,394,4257,3741,316,3425,23483,0.664725
1658137078.024876118,395,4765,4179,417,3762,23900,1.104528
1658137078.124736786,396,4803,4181,325,3856,24225,0.584697
1658137078.224831581,397,4471,3992,284,3708,24509,0.736586
1658137078.324882507,398,4465,3947,366,3581,24875,0.706537
1658137078.424730301,399,4650,4072,353,3719,25228,0.579026
1658137078.524822712,400,4960,4364,327,4037,25555,0.619748
1658137078.624900341,401,6169,5407,436,4971,25991,0.791511
1658137078.724735260,402,5551,4844,373,4471,26364,0.700683
1658137078.824827194,403,4855,4285,326,3959,26690,0.654945
1658137078.924912214,404,3971,3530,370,3160,27060,0.533227
1658137079.024743319,405,4514,4034,344,3690,27404,0.587838
1658137079.124834061,406,4425,3951,331,3620,27735,0.593063
1658137079.224809885,407,4476,4029,365,3664,28100,0.587162
1658137079.324869394,408,5047,4459,379,4080,28479,0.893560
1658137079.424824238,409,5136,4566,337,4229,28816,0.683470
1658137079.524906635,410,4096,3668,345,3323,29161,1.025429
1658137079.624745131,411,6287,5582,482,5100,29643,0.846392
1658137079.724845409,412,5980,5283,382,4901,30025,0.775499
